sample_id,locale,question,category,source_id,split,paraphrase_family_id,authoring_method,translation_status,review_status,reviewer_name,reviewer_role,reviewed_at,safety_class
"DEMO-EN-ANT-01","en","What happens at antenatal appointments?","antenatal-appointments","NHS-006","train","en-ant-01","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-02","en","Where can I learn about antenatal care and appointments?","antenatal-appointments","NHS-006","train","en-ant-02","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-03","en","What can I expect at a first midwife appointment?","antenatal-appointments","NHS-006","train","en-ant-03","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-04","en","What topics can be discussed at an antenatal appointment?","antenatal-appointments","NHS-006","train","en-ant-04","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-05","en","Where can I read about NHS pregnancy appointments?","antenatal-appointments","NHS-006","train","en-ant-05","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-06","en","How can I prepare questions for an antenatal appointment?","antenatal-appointments","NHS-006","train","en-ant-06","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-07","en","Can I learn about the checks offered during pregnancy appointments?","antenatal-appointments","NHS-006","train","en-ant-07","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-08","en","Where is information about partners attending antenatal appointments?","antenatal-appointments","NHS-006","train","en-ant-08","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-09","en","What is an antenatal booking appointment?","antenatal-appointments","NHS-006","train","en-ant-09","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-10","en","Where can I find an overview of pregnancy care appointments?","antenatal-appointments","NHS-006","train","en-ant-10","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-11","en","Show me information about antenatal appointments.","antenatal-appointments","NHS-006","visible","en-ant-11","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-EN-ANT-12","en","I want to understand the appointments offered during pregnancy.","antenatal-appointments","NHS-006","hidden","en-ant-12","source_grounded_paraphrase","not_applicable","pending_review","","","","educational"
"DEMO-CKB-ANT-01","ckb","لە چاوپێکەوتنەکانی پێش لەدایکبوون چی ڕوودەدات؟","antenatal-appointments","NHS-006","train","ckb-ant-01","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-02","ckb","لە کوێ دەتوانم دەربارەی چاودێری دووگیانی و چاوپێکەوتنەکان بخوێنمەوە؟","antenatal-appointments","NHS-006","train","ckb-ant-02","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
"DEMO-CKB-ANT-03","ckb","لە یەکەم چاوپێکەوتنی ماماندا چیم چاوەڕوان بێت؟","antenatal-appointments","NHS-006","train","ckb-ant-03","machine_assisted_adaptation","draft_machine_assisted","pending_review","","","","educational"
