source_id,organisation,title,url,language,category,authority,reuse_status,allowed_use,last_verified
NHS-TERMS-001,NHS,"Content not covered by standard terms",https://www.nhs.uk/our-policies/terms-and-conditions/content-not-licensed-for-re-use/,English,licensing,primary,policy,"Determine exclusions; do not use as clinical content",2026-08-11
NHS-001,NHS,"Labour and birth",https://www.nhs.uk/pregnancy/labour-and-birth/,English,labour_and_birth,primary,OGL_subject_to_terms,"Attributed retrieval and reviewed question authoring",2026-08-11
NHS-002,NHS,"Signs that labour has begun",https://www.nhs.uk/pregnancy/labour-and-birth/signs-that-labour-has-begun/,English,labour_signs,primary,OGL_subject_to_terms,"Attributed retrieval; safety routing source",2026-08-11
NHS-003,NHS,"The stages of labour and birth",https://www.nhs.uk/pregnancy/labour-and-birth/the-stages-of-labour-and-birth/,English,labour_stages,primary,OGL_subject_to_terms,"Attributed retrieval and reviewed question authoring",2026-08-11
NHS-004,NHS,"Pain relief in labour",https://www.nhs.uk/pregnancy/labour-and-birth/pain-relief-in-labour/,English,pain_relief,primary,OGL_subject_to_terms,"Attributed retrieval and reviewed question authoring",2026-08-11
NHS-005,NHS,"Where to give birth: the options",https://www.nhs.uk/pregnancy/labour-and-birth/where-to-give-birth-the-options/,English,birth_choices,primary,OGL_subject_to_terms,"Attributed retrieval and reviewed question authoring",2026-08-11
NHS-006,NHS,"Antenatal care and appointments",https://www.nhs.uk/pregnancy/your-pregnancy-care/your-antenatal-care-and-appointments/,English,antenatal_care,primary,OGL_subject_to_terms,"Attributed retrieval and reviewed question authoring",2026-08-11
NHS-007,NHS,"What happens straight after the birth?",https://www.nhs.uk/pregnancy/labour-and-birth/what-happens-straight-after/,English,after_birth,primary,OGL_subject_to_terms,"Attributed retrieval and reviewed question authoring",2026-08-11
NHS-008,NHS,"Your body after the birth",https://www.nhs.uk/pregnancy/labour-and-birth/your-body/,English,postnatal_recovery,primary,OGL_subject_to_terms,"Attributed retrieval; safety routing source",2026-08-11
NHS-009,NHS,"Your 6-week postnatal check",https://www.nhs.uk/baby/support-and-services/your-6-week-postnatal-check/,English,postnatal_care,primary,OGL_subject_to_terms,"Attributed retrieval and reviewed question authoring",2026-08-11
NHS-010,NHS,"Breastfeeding help and support",https://www.nhs.uk/baby/breastfeeding-and-bottle-feeding/breastfeeding/help-and-support/,English,feeding_support,primary,OGL_subject_to_terms,"Attributed retrieval and reviewed question authoring",2026-08-11
NHS-011,NHS,"Bottle feeding advice",https://www.nhs.uk/baby/breastfeeding-and-bottle-feeding/bottle-feeding/advice/,English,feeding_support,primary,OGL_subject_to_terms,"Attributed retrieval and reviewed question authoring",2026-08-11
NHS-012,NHS England,"Supporting clinical decisions with health information technology",https://www.england.nhs.uk/long-read/supporting-clinical-decisions-with-health-information-technology/,English,governance,primary,OGL_subject_to_terms,"Architecture and interpretability requirements",2026-08-11
NHS-013,NHS England,"Accessible Information Standard",https://www.england.nhs.uk/accessible-information-standard/,English,accessibility,primary,OGL_subject_to_terms,"Accessibility requirements and assessment",2026-08-11
NHS-014,NHS England Digital,"DCB0129 clinical risk management",https://digital.nhs.uk/data-and-information/information-standards/governance/latest-activity/standards-and-collections/dcb0129-clinical-risk-management-its-application-in-the-manufacture-of-health-it-systems/,English,clinical_safety,primary,OGL_subject_to_terms,"Proportionate hazard-management reference; do not claim certification",2026-08-11
MHRA-001,MHRA,"Software and artificial intelligence as a medical device",https://www.gov.uk/government/publications/software-and-artificial-intelligence-ai-as-a-medical-device,English,regulation,primary,OGL_subject_to_terms,"Intended-purpose and regulatory-boundary reference",2026-08-11
RBC-001,The Real Birth Company,"The Real Birth Company homepage",https://realbirthcompany.com/,English,product_context,primary,proprietary_link_only,"Link and high-level topic context only",2026-08-11
RBC-002,The Real Birth Company,"About Us",https://realbirthcompany.com/about/,English,product_context,primary,proprietary_link_only,"Link and public mission context only",2026-08-11
RBC-003,The Real Birth Company,"NHS Hospitals",https://realbirthcompany.com/nhs-hospitals-2/,English,equity_and_access,primary,proprietary_link_only,"Link and high-level capability context only",2026-08-11
RBC-004,The Real Birth Company,"Pregnant Women",https://realbirthcompany.com/pregnant-women/,English,birth_preparation,primary,proprietary_link_only,"Link and high-level taxonomy only",2026-08-11
RBC-005,The Real Birth Company,"Privacy Policy and terms",https://realbirthcompany.com/privacy-policy/,English,licensing,primary,policy,"Privacy and intellectual-property constraints only",2026-08-11
SOR-001,Leeds Teaching Hospitals NHS Trust,"Kurdish maternity information",https://www.leedsth.nhs.uk/services/maternity/translations/kurdish/,Kurdish,multilingual_index,primary,link_only,"Discover and link authoritative Kurdish resources",2026-08-11
SOR-002,West Yorkshire Health and Care Partnership,"Pregnancy and alcohol - Kurdish Sorani",https://www.wypartnership.co.uk/application/files/6217/6354/5011/3805_Fetal_Alcohol_Spectrum_Disorder_Leaflet_BR_Kurdish_Sorani.pdf,Kurdish Sorani,pregnancy_health,primary,link_only_pending_licence,"Link only; short question candidates require review",2026-08-11
SOR-003,Tommy's,"Reduced fetal movement leaflet - Sorani",https://www.tommys.org/sites/default/files/2024-02/Reduced%20fetal%20movement%20leaflet%20SORANI%202024.pdf,Kurdish Sorani,fetal_movement,secondary_clinical,link_only_pending_licence,"Link only; safety resource; no copied corpus",2026-08-11
